equipment_id;sensor_id
4;1
8;2
13;3
11;4
1;5
5;6
8;7
7;8
13;9
4;10
9;11
6;12
4;13
2;14
9;15
6;16
11;17
5;18
8;19
9;20
9;21
13;22
13;23
12;24
11;25
8;26
6;27
4;28
11;29
8;30
2;31
11;32
12;33
10;34
12;35
9;36
3;37
3;38
3;39
11;40
3;41
14;42
1;43
1;44
7;45
10;46
10;47
13;48
5;49
5;50
6;51
10;52
2;53
14;54
12;55
6;56
8;57
4;58
9;59
5;60
7;61
2;62
12;63
5;64
3;65
3;66
1;67
13;68
8;69
12;70
13;71
12;72
13;73
10;74
8;75
3;76
2;77
10;78
2;79
3;80
6;81
12;82
2;83
10;84
13;85
5;86
7;87
7;88
6;89
5;90
4;91
11;92
7;93
2;94
5;95
12;96
4;97
14;98
14;99
3;100
